,1.1,1.10,1.13,1.14,1.15,1.16,1.2,1.3,1.34,1.4,1.5,1.9,1,1.45
data01,3.0,,,,,,,,,,,,,
data02,,,,,,,,,52.0,,,,,
data03,,,20.0,,,,,,,,,,,
data04,,,,,25.0,,,,,,,,,
data05,,,,,,24.0,,,,,,16.0,,
data06,,,,,,,,10.0,,,,,,
data07,4.0,,,,,,,,,12.0,,,,
data08,,,,22.0,,,,,,,,,,
data15,,,,,,,,,,,12.0,,,
data16,,,,,,,,12.0,,,,,,
data17,9.0,,,,,,,,,,,,,
data18,,,,,,,3.0,,,,,,,
data19,,16.0,,,,,,,,,,,,
data20,,,,,,,,,,,,,,
data21,,,,,,,,,,,,,,
data22,2.0,,,,,,,,,,,,1.0,
data23,,,,,,,,,,,,,,
data24,,,,,,,,,,,,,,
data25,,,,,,,,,,,,,,64.0
data26,,,,,,,,,,,18.0,,,
data09,,,,,,,,,,,,,,
data10,,,,,,,,21.0,,,,,,
data11,,,,,,,,,,16.0,,,,
data12,,,,,,,,,,,,,,
data13,,,,,,,,,,,,,,
data14,4.0,,,,,,,,,,,,,
